Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,hours,minutes,duration
Gujjubhai E Gaam Gajavyu,Gujarati,,2007.0,All,1,50,1-2 hrs
Yarigu Helbedi,Kannada,,1994.0,NR,2,23,2-3 hrs
Sree Ramanjaneya Yuddha,Kannada,8.1,1963.0,NR,2,29,2-3 hrs
Asha-O-Bhalobasa,Bengali,,1989.0,All,2,7,2-3 hrs
Target Number One,Tamil,6.1,2020.0,18+,1,59,1-2 hrs
Oomakkuyil Padumbol,Malayalam,,2012.0,NR,1,45,1-2 hrs
Eradu Kanasu,Kannada,7.8,1974.0,NR,2,20,2-3 hrs
Mighty Raju - Chutti Ho Gayi,Hindi,,2019.0,All,1,4,1-2 hrs
Avvai Shanmughi,Tamil,7.9,1996.0,All,2,35,2-3 hrs
Patthar ke Phool,Hindi,5.5,1991.0,All,2,27,2-3 hrs
Pudhupettai,Tamil,8.5,2006.0,13+,2,58,2-3 hrs
Ghanta Chori Ho Gaya,Hindi,,2017.0,NR,2,17,2-3 hrs
The Wailing,English,7.5,2016.0,18+,2,29,2-3 hrs
Vennela,Telugu,7.0,2005.0,13+,2,9,2-3 hrs
Mehrban,Hindi,7.3,,All,2,42,2-3 hrs
Raja Narthaki,Telugu,,1996.0,NR,1,27,1-2 hrs
Fright Night,English,6.4,2011.0,18+,1,56,1-2 hrs
Anu,Bengali,7.3,2017.0,13+,1,53,1-2 hrs
Amader Janani,Bengali,,2018.0,13+,2,29,2-3 hrs
Rabb Da Radio 2,Punjabi,7.1,2019.0,All,2,9,2-3 hrs
Blue Ruin,English,7.1,2014.0,18+,1,30,1-2 hrs
Abby Sen,Bengali,5.8,2020.0,13+,2,8,2-3 hrs
Deviyin Thiruvilayadal,Tamil,4.2,1982.0,NR,2,9,2-3 hrs
Bhaktha Prahlada,Telugu,7.6,,All,2,50,2-3 hrs
Kantatar,Bengali,,2017.0,13+,1,58,1-2 hrs
Pournami,Telugu,5.8,2006.0,All,2,40,2-3 hrs
Chori Chori Chupke Chupke,Hindi,5.4,2001.0,13+,2,39,2-3 hrs
Pangaa Gang,Hindi,,2009.0,All,1,34,1-2 hrs
Lost and Found,English,5.5,2016.0,7+,1,31,1-2 hrs
Siddhartha,Telugu,6.7,2016.0,18+,2,4,2-3 hrs
Uncle Drew,English,5.7,2018.0,13+,1,43,1-2 hrs
Rudra Thandavam,Malayalam,8.5,2011.0,NR,2,1,2-3 hrs
Yaar Mere Bade Kaminey,Hindi,,2014.0,13+,2,8,2-3 hrs
Fraud Saiyaan,Hindi,4.2,2019.0,13+,1,57,1-2 hrs
Mardaani 2,Hindi,7.4,2019.0,13+,1,43,1-2 hrs
Astu - So Be It,Marathi,7.3,2016.0,All,2,3,2-3 hrs
Brindavanam,Telugu,6.8,1992.0,All,2,22,2-3 hrs
Panther - Hindustan Meri Jaan,Bengali,4.2,2020.0,All,2,4,2-3 hrs
Arjun Patiala,Hindi,4.2,2019.0,13+,1,46,1-2 hrs
Chotto Jigyasa,Bengali,,2018.0,13+,1,39,1-2 hrs
Irupatham Noottandu,Malayalam,7.6,1987.0,NR,2,13,2-3 hrs
2.0 (Hindi),Hindi,6.3,2018.0,13+,2,21,2-3 hrs
Antharangam,Tamil,5.9,2010.0,NR,1,51,1-2 hrs
Terminator Salvation,Telugu,6.5,2009.0,13+,1,54,1-2 hrs
Message from the King,English,6.4,2016.0,16+,1,46,1-2 hrs
Sanjog,Hindi,7.0,1985.0,NR,2,28,2-3 hrs
Immortals,Telugu,6.0,2011.0,18+,1,45,1-2 hrs
Gemini,Tamil,6.1,2002.0,13+,2,30,2-3 hrs
Nai Roshni,Hindi,6.3,,NR,2,17,2-3 hrs
Where's the Money,English,5.1,2017.0,18+,1,25,1-2 hrs
Back to the Future,English,8.5,1985.0,13+,1,56,1-2 hrs
The Landlord,English,5.4,2017.0,16+,1,26,1-2 hrs
Immortals,English,6.0,2011.0,18+,1,45,1-2 hrs
Grihayuddha,Bengali,,1984.0,NR,1,32,1-2 hrs
Flypaper,English,6.4,2011.0,16+,1,27,1-2 hrs
Bisha Briksha,Bengali,,1984.0,NR,2,4,2-3 hrs
Noorie,Hindi,6.0,1979.0,16+,0,0,<30 mins
Pushpak,Hindi,8.7,1987.0,All,1,54,1-2 hrs
Neel Lohit,Bengali,,2014.0,All,2,8,2-3 hrs
Lagna Pathrike,Kannada,8.9,1967.0,NR,2,7,2-3 hrs
Baap Dhamaal Dikra Kamaal,Gujarati,,2008.0,13+,2,31,2-3 hrs
Anuranan (Hindi Dubbed),Hindi,6.7,2006.0,All,1,46,1-2 hrs
An Enemy,English,,2014.0,18+,1,30,1-2 hrs
Ganam Courtar Avargale,Tamil,,1998.0,NR,1,49,1-2 hrs
Thiruda Thiruda,Tamil,7.2,1993.0,All,2,50,2-3 hrs
Raabta,Hindi,4.6,2017.0,13+,2,24,2-3 hrs
Server Sundaram,Tamil,8.7,1964.0,All,2,39,2-3 hrs
10th July,Bengali,,2014.0,NR,2,7,2-3 hrs
Adhey Kangal,Tamil,7.4,2017.0,All,2,45,2-3 hrs
Autumn in New York,English,5.7,2000.0,13+,1,44,1-2 hrs
The Stoneman Murders,Hindi,7.4,2009.0,13+,1,34,1-2 hrs
H2O,Kannada,7.2,2002.0,NR,2,13,2-3 hrs
Kochadaiiyaan - The Legend - Hindi,Hindi,,2014.0,NR,1,58,1-2 hrs
Thalaivaa (Hindi),Hindi,6.1,2014.0,All,2,12,2-3 hrs
Darna Zaroori Hai,Hindi,5.4,2008.0,13+,1,37,1-2 hrs
Bewaqoof,Hindi,5.2,,NR,2,40,2-3 hrs
A Thin Wall,Hindi,8.1,2015.0,NR,1,5,1-2 hrs
Born To Race,Hindi,6.0,2012.0,16+,1,38,1-2 hrs
"PILCHUCK, A DANCE WITH FIRE",English,,2020.0,13+,0,59,30-60 mins
Wish Upon A Star,English,6.7,1996.0,7+,1,29,1-2 hrs
Finally Bhalobasha,Bengali,6.6,2018.0,16+,1,54,1-2 hrs
Deya Neya,Bengali,8.0,,NR,1,46,1-2 hrs
Pitbull,English,7.0,2020.0,13+,0,51,30-60 mins
Kuttettan,Malayalam,6.3,1990.0,NR,2,13,2-3 hrs
Boyz 2,Marathi,6.8,2018.0,18+,2,19,2-3 hrs
Chhota Bheem - Dinosaur World,Hindi,,2019.0,All,1,5,1-2 hrs
Alamto: A Reptile Wonderland,English,,2020.0,13+,0,0,<30 mins
Lankeswarudu,Telugu,6.4,1989.0,NR,2,19,2-3 hrs
Alaap,Hindi,6.7,1977.0,All,2,7,2-3 hrs
Mannan,Tamil,7.2,1992.0,NR,2,33,2-3 hrs
Kadhal Sadugudu,Tamil,5.6,2003.0,18+,2,20,2-3 hrs
In the Valley of Elah,English,7.1,2007.0,18+,2,1,2-3 hrs
Gauthamante Radham,Malayalam,6.3,2020.0,All,2,6,2-3 hrs
Wake Up Singh,Punjabi,5.5,2016.0,13+,1,48,1-2 hrs
Celluloid Man,English,7.9,2012.0,NR,2,36,2-3 hrs
Taxi No. 9 2 11: Nau Do Gyarah,Hindi,7.2,2006.0,13+,1,55,1-2 hrs
Big Brother,Malayalam,3.3,2020.0,13+,2,42,2-3 hrs
Bewafa,Hindi,7.6,,NR,1,45,1-2 hrs
